                                    Name		       Real [s]	       User [s]	     System [s]
       copy lib, records: 1000, bytes: 1:		       0.000000	       0.000000	       0.000000
       copy sys, records: 1000, bytes: 1:		       0.010000	       0.000000	       0.000000
       copy lib, records: 5000, bytes: 1:		       0.000000	       0.000000	       0.000000
       copy sys, records: 5000, bytes: 1:		       0.010000	       0.000000	       0.010000
      copy lib, records: 10000, bytes: 1:		       0.000000	       0.000000	       0.000000
      copy sys, records: 10000, bytes: 1:		       0.030000	       0.000000	       0.030000
       copy lib, records: 1000, bytes: 4:		       0.000000	       0.000000	       0.000000
       copy sys, records: 1000, bytes: 4:		       0.000000	       0.000000	       0.000000
       copy lib, records: 5000, bytes: 4:		       0.000000	       0.000000	       0.000000
       copy sys, records: 5000, bytes: 4:		       0.010000	       0.000000	       0.000000
      copy lib, records: 10000, bytes: 4:		       0.000000	       0.000000	       0.000000
      copy sys, records: 10000, bytes: 4:		       0.020000	       0.000000	       0.020000
     copy lib, records: 1000, bytes: 512:		       0.000000	       0.000000	       0.000000
     copy sys, records: 1000, bytes: 512:		       0.000000	       0.000000	       0.000000
     copy lib, records: 5000, bytes: 512:		       0.010000	       0.000000	       0.000000
     copy sys, records: 5000, bytes: 512:		       0.010000	       0.000000	       0.000000
    copy lib, records: 10000, bytes: 512:		       0.000000	       0.000000	       0.000000
    copy sys, records: 10000, bytes: 512:		       0.020000	       0.000000	       0.020000
    copy lib, records: 1000, bytes: 1024:		       0.000000	       0.000000	       0.000000
    copy sys, records: 1000, bytes: 1024:		       0.000000	       0.000000	       0.000000
    copy lib, records: 5000, bytes: 1024:		       0.000000	       0.000000	       0.000000
    copy sys, records: 5000, bytes: 1024:		       0.010000	       0.000000	       0.000000
   copy lib, records: 10000, bytes: 1024:		       0.010000	       0.000000	       0.000000
   copy sys, records: 10000, bytes: 1024:		       0.030000	       0.000000	       0.010000
    copy lib, records: 1000, bytes: 4096:		       0.000000	       0.000000	       0.000000
    copy sys, records: 1000, bytes: 4096:		       0.000000	       0.000000	       0.000000
    copy lib, records: 5000, bytes: 4096:		       0.010000	       0.000000	       0.010000
    copy sys, records: 5000, bytes: 4096:		       0.020000	       0.000000	       0.010000
   copy lib, records: 10000, bytes: 4096:		       0.040000	       0.000000	       0.030000
   copy sys, records: 10000, bytes: 4096:		       0.040000	       0.000000	       0.030000
    copy lib, records: 1000, bytes: 8192:		       0.000000	       0.000000	       0.000000
    copy sys, records: 1000, bytes: 8192:		       0.010000	       0.000000	       0.000000
    copy lib, records: 5000, bytes: 8192:		       0.040000	       0.000000	       0.030000
    copy sys, records: 5000, bytes: 8192:		       0.030000	       0.000000	       0.020000
   copy lib, records: 10000, bytes: 8192:		       0.090000	       0.030000	       0.060000
   copy sys, records: 10000, bytes: 8192:		       0.060000	       0.000000	       0.050000
       sort lib, records: 1000, bytes: 1:		       0.040000	       0.020000	       0.010000
       sort sys, records: 1000, bytes: 1:		       0.040000	       0.020000	       0.020000
       sort lib, records: 5000, bytes: 1:		       0.260000	       0.130000	       0.110000
       sort sys, records: 5000, bytes: 1:		       0.350000	       0.180000	       0.170000
      sort lib, records: 10000, bytes: 1:		       0.710000	       0.480000	       0.220000
      sort sys, records: 10000, bytes: 1:		       1.150000	       0.600000	       0.550000
       sort lib, records: 1000, bytes: 4:		       0.040000	       0.020000	       0.010000
       sort sys, records: 1000, bytes: 4:		       0.030000	       0.010000	       0.020000
       sort lib, records: 5000, bytes: 4:		       0.320000	       0.180000	       0.130000
       sort sys, records: 5000, bytes: 4:		       0.420000	       0.200000	       0.210000
      sort lib, records: 10000, bytes: 4:		       0.720000	       0.460000	       0.260000
      sort sys, records: 10000, bytes: 4:		       1.160000	       0.540000	       0.610000
     sort lib, records: 1000, bytes: 512:		       0.050000	       0.010000	       0.030000
